M,24,180,80
M,23,170,60
M,24,NA,NA
M,34,NA,NA
F,21,185,82
F,25,185,82
F,27,185,82
M,31,188,75
M,33,188,75
M,31,183,72
M,33,183,72
F,18,168,NA
M,26,186,96
M,26,NA,NA
M,22,182,76.5
M,31,172,70
F,30,159,55.5
F,34,159,55.5
F,32,171,65
M,22,NA,NA
M,30,NA,NA
M,28,184,85
M,28,175,64
M,32,175,64
M,31,189,130
M,54,NA,NA
M,20,176,85
M,22,176,85
M,26,176,85
M,30,176,85
M,34,176,85
F,27,163,NA
F,22,170,125
M,22,187,89
M,26,187,89
M,27,NA,NA
F,17,169,65
M,43,170,77
M,47,170,77
F,22,NA,NA
M,26,189,72
M,30,189,72
M,24,174,70
M,23,NA,NA
M,24,187,76
M,28,187,76
M,30,187,76
M,24,190,98
M,21,194,78
M,25,194,78
F,23,182,64
M,20,NA,NA
M,33,NA,NA
M,31,NA,NA
M,28,NA,NA
M,25,NA,NA
M,34,185,75
M,25,182,73
M,29,182,73
M,41,NA,NA
M,33,194,93
M,45,194,93
M,49,194,93
M,53,194,93
M,57,194,93
M,22,177,74
M,26,177,74
M,30,177,74
M,24,NA,64
F,24,168,65
F,28,168,65
M,22,185,106
M,26,185,106
M,23,167,64
M,22,189,80
M,24,172,58
M,NA,NA,NA
M,26,170,65
M,21,NA,NA
M,24,176,66
M,24,164,71
M,28,164,71
M,24,172,75
M,26,175,72
M,21,198,90
M,30,194,87
F,21,165,49
M,NA,156,48
F,22,179,80
F,26,179,80
M,23,178,76
F,19,185,72
M,26,167,65
M,27,172,82
M,24,180,83
M,28,180,83
M,23,182,86
M,27,182,86
M,31,182,86
F,30,182,73
M,22,178,70
M,22,185,82
M,27,166,75
M,22,186,83
M,22,190,77
M,26,183,75
M,26,165,55
M,24,181,82
M,28,181,82
M,32,181,82
M,22,182,67
M,26,182,67
M,29,188,97
F,25,168,105
F,21,163,60
M,27,190,80
M,21,180,73
M,34,190,85
M,38,190,85
M,38,NA,NA
F,35,155,43
M,18,168,60
M,16,180,70
M,30,169,75
M,30,181,79
M,25,170,51
M,19,175,75
M,23,175,75
M,22,188,96
M,29,188,96
M,34,188,96
M,22,182,90
M,26,182,90
M,30,182,90
M,34,182,90
M,20,187,97
M,25,187,97
M,29,187,97
M,33,187,97
M,23,176,64
M,27,176,64
M,20,175,66
M,22,190,88
M,21,169,67
M,22,175,80
M,20,160,65
M,24,181,74
M,28,NA,60
M,32,NA,60
M,22,178,78
M,22,165,65
M,19,NA,NA
M,26,170,70
M,23,168,55
M,28,173,77
M,25,178,80
M,29,178,80
M,37,178,80
M,28,170,62
F,20,164,58
M,20,165,60
M,24,165,60
M,28,165,60
F,28,173,60
M,22,181,74
M,18,182,76
F,33,159,53
F,28,171,64
M,23,192,90
F,23,178,72
M,29,195,85
M,15,175,64
M,19,175,64
M,24,180,104
M,42,172,80
M,46,172,80
F,30,167,58
M,21,184,87
M,23,179,80
M,24,175,70
M,28,175,70
M,19,179,71
F,41,160,57
F,21,164,63
F,30,163,52
F,23,NA,NA
F,42,NA,NA
M,34,185,91
F,23,191,88
F,40,165,57
M,22,185,98
M,26,185,98
M,34,185,98
M,23,195,94
M,22,192,83
M,26,192,83
F,21,NA,NA
F,15,167,60
F,19,167,60
M,25,163,57
M,28,203,97
M,29,NA,NA
F,20,175,56
M,21,168,57
M,29,168,57
M,23,169,68
F,19,158,49
F,18,172,61
M,25,174,70
M,32,168,68
M,NA,170,69
M,23,174,69
M,23,180,56
M,32,180,56
M,NA,176,73
F,18,154,48
F,22,154,48
F,18,153,46
M,30,186,100
M,35,NA,NA
M,32,152,52
M,24,193,82
M,NA,162,57
M,25,189,85
M,NA,176,67
M,24,NA,81
M,32,NA,81
M,24,183,76
M,28,172,68
M,23,178,67
M,27,178,67
M,25,188,92
M,19,198,80
M,23,198,80
M,23,197,87
M,31,197,87
M,21,176,74
M,18,NA,NA
M,37,NA,NA
M,27,188,79
M,16,NA,NA
M,30,180,120
M,28,170,60
